,Martin Luther,John Calvin,Ulrich Zwingli,Joachim Vadian,Conrad Grebel,Felix Manz,George Blaurock,Wilhelm Reublin,Johannes Brotli,Louis Haetzer,Leo Jud,Henry Bullinger,Wolfgang Ulimann,Andrew Castelberger,John Denck,Thomas Muntzer,Andreas Carlstadt,Balthasar Hubmaier,John Hut,Michael Sattler,Jacob Hutter,Pilgrim Marpeck,Oswald Glait,Andreas Fischer,Caspar Schwenckfeld,Leonhard von Lichtenstein,Hans Schlaffer,Melchior Hofmann,John Matthijs,John Layden,Bernard Rothmann,Jacob Gross,Leonard Schiemer,John Schlaffer,Ambrose Spittelmaier,Peter Riedemann,Gabriel Ascherham,George Zaunring,Jacob Wiedemann,Simon Schutzinger,John Amon,Leonard Lanzenstiel,Peter Walpot,Jacob Kautz,Hans Romer,Jan Batenburg,Heinrich Kretching,Jacob Dachser,Hippolytus (Bolt) Eberli,Bernard Knipperdolling,Philip Plener,Sigmund Salminger,George Schad,Menno Simons,Ulrich Stadler,Obbe Philips,Dirk Philips,John Spittelmaier,David Joris,Jan Trypmaker,Boekbinder,Jacob Van Campen,Philipp Melanchthon,Wolfgang Capito,Martin Bucer,Cornelis Appleman,Jan Van Geelen
Martin Luther,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
John Calvin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Ulrich Zwingli,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Joachim Vadian,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conrad Grebel,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felix Manz,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Blaurock,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wilhelm Reublin,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Johannes Brotli,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Haetzer,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
