screen_name,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
warmediateam,0,5,0.324906,0.359376,2249.31978,0
RashaAlAqeedi,0,2,0.9875,0.993671,1066.033333,20
inna_veleva,0,6,0.274776,0.338048,534.87381,8
saad9shalgeen,0,2,0.582222,0.641221,524,3
XUSHBZeG9TI9P4d,0,6,0.259128,0.282299,28,0
teamsmediawar,0,3,0.438753,0.465313,2208.709632,0
almuhannds,0,0,0,0,0,0
SaadoonMustafa,0,5,0.348668,0.424846,1996.395238,4
ARIJNetwork,0,6,0.274648,0.339566,142.276923,26
Qais_alkhazali,0,1,1,1,30,0
M_Balsam,0,0,0,0,0,4
janearraf,0,0,0,0,0,4
rabiasquared,0,0,0,0,0,9
shadihamid,0,0,0,0,0,9
Rebel44CZ,0,0,0,0,0,16
Nervana_1,0,0,0,0,0,20
DrCraigRDawson,0,0,0,0,0,20
itszaidm,0,0,0,0,0,20
SofiaBarbarani,0,0,0,0,0,20
ninabazi,0,0,0,0,0,20
Deach_haratee,0,0,0,0,0,20
Hudadicle,0,0,0,0,0,20
FYShexbizeni,0,0,0,0,0,20
Dashni_Morad,0,0,0,0,0,20
aelghossain,0,0,0,0,0,20
wammezz,0,0,0,0,0,20
DSAME_Defence,0,0,0,0,0,4
faysalitani,0,0,0,0,0,20
TheNetworkerDC,0,0,0,0,0,20
Hodz613,0,0,0,0,0,20
OmarDXB,0,0,0,0,0,20
menaaaly,0,0,0,0,0,20
NibrasKhudaida,0,0,0,0,0,20
YouthAssembly,0,0,0,0,0,20
Creighton,0,0,0,0,0,20
Ezidi2,0,0,0,0,0,37
Ezidi24,0,0,0,0,0,20
Iraqimofa,0,0,0,0,0,6
kurdistan24tv,0,0,0,0,0,20
Jake_Hanrahan,0,0,0,0,0,20
DjenkoUnchained,0,0,0,0,0,20
HaiderAlRekabi,0,0,0,0,0,20
nadabakos,0,0,0,0,0,20
macaronjoe,0,0,0,0,0,20
DGisSERIOUS,0,0,0,0,0,20
PLBarghouty,0,0,0,0,0,20
Abunass3r,0,0,0,0,0,20
iraqichristian,0,0,0,0,0,20
RababGhazoul,0,0,0,0,0,20
DrRobThompson,0,0,0,0,0,20
Joyce_Karam,0,0,0,0,0,20
5tuarthardy,0,0,0,0,0,20
Londonstani,0,0,0,0,0,20
zeynep,0,0,0,0,0,20
mawjjii,0,0,0,0,0,20
NasirAshurElias,0,0,0,0,0,20
MosulEye,0,0,0,0,0,20
mayaalleruzzo,0,0,0,0,0,20
freesyrian7719,0,0,0,0,0,20
IrfaaSawtak,0,0,0,0,0,20
draperha,0,0,0,0,0,20
MichaelSonsino,0,0,0,0,0,20
AlbertoMiguelF5,0,0,0,0,0,20
arawnsley,0,0,0,0,0,20
lachlan,0,0,0,0,0,20
CathyOtten,0,0,0,0,0,20
DiogoBercito,0,0,0,0,0,20
BAYKUSofMINERVA,0,0,0,0,0,20
AlexMello02,0,0,0,0,0,20
AramShabanian,0,0,0,0,0,20
omar_nidawi,0,0,0,0,0,20
HariPrasad91,0,0,0,0,0,20
amsoufi_,0,0,0,0,0,20
Beirutspring,0,0,0,0,0,20
Moudhy,0,0,0,0,0,8
amhitchens,0,0,0,0,0,20
AdilAbdAlMahdi,0,1,1,1,62.929132,6
GebeilyM,0,0,0,0,0,14
RubaAlHassani,0,0,0,0,0,11
muhammadalwaeli,0,0,0,0,0,8
lcmporter,0,0,0,0,0,8
fdaoulb,0,0,0,0,0,4
DavidMWitty1,0,0,0,0,0,8
BaxtiyarGoran,0,0,0,0,0,14
ChloeNCornish,0,0,0,0,0,16
alghadeer_tv,0,0,0,0,0,8
ajaltamimi,0,0,0,0,0,22
Mikeknightsiraq,0,0,0,0,0,16
hushamalhashimi,0,0,0,0,0,33
GH3ABID,0,0,0,0,0,5
AlArabiya,0,0,0,0,0,35
ErwinVeen,0,0,0,0,0,8
Clingendaelorg,0,0,0,0,0,8
IraqLiveUpdate,0,2,0.580357,0.638462,428.078571,1
Mustafa_Habib33,0,0,0,0,0,16
hdagres,0,0,0,0,0,8
AtlanticCouncil,0,0,0,0,0,8
GinaAVale,0,0,0,0,0,8
NazliTarzi,0,0,0,0,0,8
TamerBadawi1,0,0,0,0,0,8
MikeFleet23,0,0,0,0,0,8
heiko_wimmen,0,0,0,0,0,8
IraqiSpoxMOD,0,0,0,0,0,8
yesar,0,0,0,0,0,8
NASnews3,0,0,0,0,0,8
DanielGerlach1,0,0,0,0,0,8
