"","Source","Target","n"
"1","qanon","wwgwga",4052
"2","human","trafficking",1211
"3","child","trafficking",1114
"4","pedogate","pedowood",1082
"5","billclintonisapedo","remember",1044
"6","clintoncrimefamily","savethechildren",1044
"7","crazy","now",1044
"8","elite","child",1044
"9","epsteinfiles","pedogate",1044
"10","now","huh",1044
"11","pedowood","pizzagateisreal",1044
"12","pizzagate","tried",1044
"13","pizzagateisreal","qanon",1044
"14","powerful","elite",1044
"15","savethechildren","epsteinfiles",1044
"16","trafficking","networks",1044
"17","wwgwga","billgates",1041
"18","billgates","tcodrovnipcj",1039
"19","huh","clintoncrimefamily",1039
"20","wwgwga","qanon",917
"21","sounds","like",854
"22","wwgwga","q",841
"23","crazy","conspiracy",790
"24","billionaires","generating",789
"25","criminal","billionaires",789
"26","elite","consortium",789
"27","generating","vast",789
"28","holocaustlevel","industrialized",789
"29","industrialized","human",789
"30","qanon","sounds",789
"31","revelations","spilling",789
"32","slavery","wouldnt",789
"33","think","revelations",789
"34","vast","wealth",789
"35","patriots","wwgwga",666
"36","pedowood","qanon",653
"37","adrenochrome","killary",651
"38","childlivesmatter","humantraffickingawareness",651
"39","epsteindidntkillhimself","pedowood",651
"40","great","turn",651
"41","hollywood","savethechildren",651
"42","humantraffickingawareness","adrenochrome",651
"43","killary","epsteindidntkillhimself",651
"44","q","childlivesmatter",651
"45","qanon","tcotzdqkbsij",651
"46","today","great",651
"47","maga","kag",464
"48","q","qanon",453
"49","qanon","thegreatawakening",400
"50","cnn","building",372
"51","amp","qanon",361
"52","pizzagate","amp",351
"53","didnt","see",350
"54","thegreatawakening","wwgwga",349
"55","children","tcohtakbyveb",348
"56","news","people",348
"57","people","stormed",348
"58","qanon","signs",348
"59","shouting","save",348
"60","signs","shouting",348
"61","input","tcotppxdsjggo",337
"62","wwgwga","wwgwgaworldwide",337
"63","pizzagate","pedogate",335
"64","qanon","wearethenewsnow",317
"65","factsmatter","wwgwga",315
"66","freedom","peace",315
"67","immediate","termination",315
"68","wwgwga","wakeupamerica",315
"69","wearethenewsnow","factsmatter",314
"70","big","deal",311
"71","wakeupamerica","unitednotdivided",311
"72","saveamerica","greatawakening",310
"73","unitednotdivided","saveamerica",309
"74","submitted","trump",308
"75","frazzledrip","weinerslaptop",295
"76","weinerslaptop","qanon",295
"77","pedogate","frazzledrip",294
"78","qanon","q",292
"79","qanon","adrenochrome",289
"80","jeffreyepstein","pedoisland",280
"81","qanon","movement",268
"82","wwgwga","maga",265
"83","day","qanon",253
"84","deep","state",251
"85","already","won",246
"86","billions","heres",246
"87","cat","bounce",246
"88","dead","cat",246
"89","declass","everything",246
"90","heres","proof",246
"91","qanon","tcoupahkm",246
"92","relax","trump",246
"93","satanic","socialists",246
"94","trump","already",246
"95","trump","relax",246
"96","witnessing","now",246
"97","fake","pandemic",245
"98","berlin","without",241
"99","corona","fake",241
"100","germany","wakes",241
"101","government","qanon",241
"102","mask","demonstrate",241
"103","pandemic","away",241
"104","wow","germany",239
"105","wwgwga","tcofztfwqi",239
"106","qanons","qanon",225
"107","wwgwga","trump",225
"108","fakenews","nyt",224
"109","wwgwgaworldwide","qanon",223
"110","fight","fight",222
"111","potus","knows",221
"112","qanon","maga",221
"113","americas","frontline",220
"114","chloroquine","qanon",220
"115","doctors","know",220
"116","dwarf","knows",220
"117","frontline","doctors",220
"118","hcq","chloroquine",220
"119","qanon","tcorywhqx",220
"120","maga","qanon",216
"121","good","news",214
"122","qanon","qanonfrance",213
"123","like","amp",211
"124","bill","clinton",209
"125","alert","feeling",206
"126","amp","retweet",206
"127","cheer","qanon",206
"128","final","stage",206
"129","good","cheer",206
"130","kag","tcobwjznbguv",206
"131","plz","like",206
"132","spread","good",206
"133","thread","alert",206
"134","us","everything",206
"135","win","q",206
"136","maga","trump",205
"137","qanonfrance","maga",205
"138","wwgwga","digitalsoldier",205
"139","deliberately","fraudulent",202
"140","discredited","<U+0001D407><U+0001D402><U+0001D410>",202
"141","every","study",202
"142","halfway","around",202
"143","lie","halfway",202
"144","qanon","tcolbfqjv",202
"145","real","life",191
"146","adrenochrome","exposed",190
"147","q","movement",190
"148","comms","volunteer",187
"149","creative","marketing",187
"150","group","nonprofit",187
"151","marketing","research",187
"152","media","group",187
"153","nonprofit","tcolegnlnvvj",187
"154","physical","force",187
"155","positions","available",187
"156","production","publishing",187
"157","publishing","creative",187
"158","steinbart","media",187
"159","tcolegnlnvvj","tcoosvtauv",187
"160","qanon","greatawakening",185
"161","qanon","qanons",177
"162","exposed","jeffreyepstein",176
"163","deepstate","nwo",175
"164","nwo","pizzagate",175
"165","qanon","qarmy",169
"166","also","cases",167
"167","cases","cases",167
"168","cases","qanon",167
"169","hi","dr",167
"170","wwgwga","tcoaeevbpsp",167
"171","evil","qanon",165
"172","qanon","savethechildren",161
"173","president","realdonaldtrump",158
"174","qanon","epstein",158
"175","amp","sell",155
"176","big","business",155
"177","border","amp",155
"178","deal","dealing",155
"179","deal","president",155
"180","epstein","tcowvhranaog",155
"181","grab","women",155
"182","mouth","come",155
"183","put","tape",155
"184","women","put",155
"185","dont","know",153
"186","pedogate","pizzagate",150
"187","potus","qanon",149
"188","austerea","related",148
"189","qanon","tcosvcdqlg",148
"190","related","whitness",148
"191","can","stop",147
"192","trump","qanon",146
"193","q","annons",145
"194","maga","wwgwga",144
"195","satanicrituals","satanicelite",144
"196","covid","coronavirus",142
"197","satanicelite","pedovores",142
"198","kag","qanon",140
"199","qanon","realdonaldtrump",140
"200","pedoisland","satanicrituals",138
"201","hands","clasped",136
"202","children","qanon",135
"203","pizzagate","wwgwga",135
"204","new","world",134
"205","world","order",134
"206","deepstate","pizzagate",133
"207","god","qanon",133
"208","qanon","pedogate",132
"209","wwgwga","thegreatawakening",132
"210","epstein","island",131
"211","heute","uhr",131
"212","qanonuk","qanon",131
"213","submission","qanon",130
"214","aaargh","trolls",128
"215","amendment","tcojumexorce",128
"216","banned","aaargh",128
"217","banned","yeah",128
"218","long","drop",128
"219","qanon","banned",128
"220","realdonaldtrump","qanon",128
"221","st","amendment",128
"222","tiktok","banned",128
"223","yeah","tiktok",128
"224","qanon","qanonworldwide",127
"225","qanon","qanonuk",125
"226","qanon","wwggwa",125
"227","amp","flew",124
"228","drop","welcome",124
"229","spiegeltv","heute",123
"230","pedogate","pedogate",122
"231","coin","q",121
"232","fiancee","just",121
"233","just","pointed",121
"234","outsaving","children",121
"235","p","coin",121
"236","q","tcodijgagzav",121
"237","q","walking",121
"238","walking","outsaving",121
