Node ID,Primary Ideology,Homebase,Founding Year,Strength
ADFL,1,6,1996,750
ADF-NALU,4,20,1996,1000
AFRC - 1,1,16,1997,500
AFRC - 2,1,16,1998,100
AFRC - 3,1,16,1998,100
AIAI,4,17,1982,2000
Al Shabaab,4,17,2006,8000
Ansar Dine,4,12,2012,250
AQIM,4,1,1998,700
ARS-Asmara,4,8,2007,400
ARS-Djibouti,4,7,2008,400
CNDD-FDD,2,3,1993,25000
CNDP,2,6,2006,4000
CMA,1,12,2012,10000
CPJP,1,4,2004,1000
FDLR,2,6,2000,2500
FDLR-FOCA,2,6,2003,2500
FDPC,1,4,2005,1000
FLC,1,6,2001,1000
FNCI,1,10,2002,42000
Former AFRC,1,16,1999,36
FUCD,2,5,2006,300
GSPC,4,1,1998,300
Hutu Rebels,2,14,1990,20000
ICU,4,17,2000,1000
ICU-Asmara,4,8,2007,400
ICU-Djibouti,4,7,2008,400
Islamic State (Somalia),4,17,2015,250
JEM,4,18,2000,5000
JEM-Bashar,4,18,2012,1000
JEM-UFN,4,18,2007,300
LJM,1,18,2010,200
LRA,3,20,1987,275
LURD,6,11,1999,11500
M23,1,6,2012,1500
MAA,2,12,2012,500
MASSOB,2,13,2001,3000
MASSOB-Uwazuruike,2,13,2015,3000
MDJT,1,5,1998,1500
MFDC,5,15,1982,300
MLC,1,6,1996,20000
MMRDC,2,4,2013,1000
MNLA,2,12,2011,9500
MPLA,1,2,1958,50000
MUJAO,4,12,2011,350
Mutiny of FNCI -1,1,10,2002,42000
Mutiny of FNCI -2,1,10,2002,12
Mutiny of FNCI - 3,1,10,2007,200
Mutiny of LRA,3,20,1987,275
Mutiny of PALIPEHUTU-FNL,2,3,1985,1200
NPFL,1,11,1984,25000
OLF-1,2,9,1973,5000
OLF-2,2,9,2001,300
ONLF,2,9,1984,2500
PALIPEHUTU-FNL,2,3,1985,1200
RAFD,1,5,2006,12000
RCD -1 ,1,6,1998,27500
RCD -2 ,1,6,2002,5000
RCD-Goma,1,6,2002,12500
RCD-K,1,6,1999,3500
RCD-K-ML,1,6,1999,3500
RRA,5,17,1995,3000
RUF -1,1,16,1991,750
RUF -2 ,1,16,1998,200
Seleka Rebel Coalition,1,4,2012,3500
SLM/A,5,18,2002,30000
SLM/A-FW,5,18,2005,2000
SLM/A-Minnawi,2,18,2005,6000
SLM/A-Nur,5,18,2005,2000
SLM/A-Unity,5,18,2005,6000
SPLA/M,2,19,1983,150000
SPLA/M-Bahr al Ghazal,2,18,1983,24000
SPLA/M-Garang,2,18,1983,24000
SPLA/M-In Opposition,1,18,2014,24000
SPLA/M-Kerubino,2,18,1987,24000
SPLA/M-United,2,18,1993,24000
SSUA,6,19,1998,50000
SSUA-Gadet,6,19,2000,1000
UFDR,2,4,2003,1240
ULIMO,2,11,1991,20000
ULIMO-J,2,11,1994,8000
ULIMO-K,2,11,1994,12000
UNITA,1,2,1966,60000
UPC,5,6,2001,15000
URFF,1,18,2007,300
WNBFA59A62:A87,2,20,1995,2000
