from,to
ADFL,RCD-Goma
ADF-NALU,RCD-Goma
AFRC - 1,RUF -1
AFRC - 2,RUF -2
AFRC - 3,RUF -2
AIAI,RRA
Al Shabaab,ARS-Djibouti
Al Shabaab,ICU
Al Shabaab,ICU-Djibouti
Al Shabaab,Islamic State (Somalia)
Al Shabaab,ONLF
Ansar Dine,CMA
Ansar Dine,MNLA
AQIM,MNLA
AQIM,MUJAO
ARS-Asmara,ARS-Djibouti
CNDD-FDD,PALIPEHUTU-FNL
CNDD-FDD,RCD -1
CNDD-FDD,RCD-Goma
CNDP,FDLR
CPJP,UFDR
FDLR,FDLR-FOCA
FDLR,M23
FDPC,Seleka Rebel Coalition
FNCI,Mutiny of FNCI -1
FNCI,Mutiny of FNCI -2
FNCI,Mutiny of FNCI - 3
Former AFRC,RUF -1
FUCD,RAFD
GSPC,MDJT
Hutu Rebels,PALIPEHUTU-FNL
Hutu Rebels,RCD-Goma
ICU,ICU-Asmara
ICU,RRA
JEM,JEM-Bashar
JEM,JEM-UFN
JEM,SLM/A
JEM,SLM/A-Minnawi
JEM,SLM/A-Unity
JEM,SPLA/M-In Opposition
JEM,URFF
LJM,LRA
LRA,Mutiny of LRA
LRA,Seleka Rebel Coalition
LRA,SLM/A
LRA,SPLA/M
LRA,UFDR
LURD,RUF -1
MAA,MNLA
MASSOB,MASSOB-Uwazuruike
MLC,RCD-Goma
MLC,RCD-K
MLC,RCD-K-ML
MMRDC,Seleka Rebel Coalition
MNLA,MUJAO
MPLA,UNITA
Mutiny of PALIPEHUTU-FNL,PALIPEHUTU-FNL
NPFL,ULIMO-J
NPFL,ULIMO-K
OLF-1,OLF-2
OLF-1,RRA
RCD -1,RCD-Goma
RCD -1,RCD-K-ML
RCD -2,RCD-Goma
RCD-Goma,RCD-K
RCD-Goma,RCD-K-ML
RUF -2,ULIMO
SLM/A,SLM/A-Minnawi
SLM/A,SLM/A-Nur
SLM/A,SLM/A-Unity
SLM/A,URFF
SLM/A-FW,SLM/A-Minnawi
SLM/A-Minnawi,SLM/A-Nur
SLM/A-Minnawi,SLM/A-Unity
SPLA/M,SPLA/M-Bahr al Ghazal
SPLA/M,SPLA/M-United
SPLA/M,SSUA
SPLA/M,SSUA-Gadet
SPLA/M,WNBFA59A62:A87
SPLA/M-Garang,SPLA/M-Kerubino
