Source,Target,Type,Rel 
1d_nicole_,ina_malone,Directed,Retweet
1d_nicole_,willie_bign,Directed,Retweet
4ever1937,bydrbre_,Directed,Retweet
4ever1937,novostidamask,Directed,Retweet
4ever1937,novostinn,Directed,Retweet
4mysquad,crystal1johnson,Directed,Retweet
jusslilstoner,4mysquad,Directed,Retweet
acejinev,4mysquad,Directed,Retweet
adrgreerr,4mysquad,Directed,Retweet
bigboyjasiah,4mysquad,Directed,Retweet
blacknewsoutlet,4mysquad,Directed,Retweet
camosaseko,4mysquad,Directed,Retweet
cannonsher,4mysquad,Directed,Retweet
cliftonhughes_,4mysquad,Directed,Retweet
cornellburchet,4mysquad,Directed,Retweet
crystal1johnson,4mysquad,Directed,Retweet
errivvvvers,4mysquad,Directed,Retweet
holdmejerry,4mysquad,Directed,Retweet
hunteroddddom,4mysquad,Directed,Retweet
jaedenmassey,4mysquad,Directed,Retweet
jassscott,4mysquad,Directed,Retweet
jery_robertsyo,4mysquad,Directed,Retweet
johnbranchh,4mysquad,Directed,Retweet
johnnymarch_,4mysquad,Directed,Retweet
kaydenmelton,4mysquad,Directed,Retweet
mbrownhere,4mysquad,Directed,Retweet
nehemiahx,4mysquad,Directed,Retweet
ramonasnails,4mysquad,Directed,Retweet
sadieeatonn,4mysquad,Directed,Retweet
samirgooden,4mysquad,Directed,Retweet
sincerepruitt,4mysquad,Directed,Retweet
watchmewalkin,4mysquad,Directed,Retweet
williams8kalvin,4mysquad,Directed,Retweet
willisbonnerr,4mysquad,Directed,Retweet
zzzacharyzzz,4mysquad,Directed,Retweet
5emen5emenich,batman_bane,Directed,Retweet
5emen5emenich,marisha_zu,Directed,Retweet
5emen5emenich,novostirnd,Directed,Retweet
5emen5emenich,politvlast,Directed,Retweet
5emen5emenich,riafanru,Directed,Retweet
5emen5emenich,zubovnik,Directed,Retweet
5l5_5l5,novostiekb,Directed,Retweet
5l5_5l5,riafanru,Directed,Retweet
5l5_5l5,zubovnik,Directed,Retweet
666steverogers,crystal1johnson,Directed,Retweet
6druz,boeing_is_back,Directed,Retweet
6druz,denn_nikitin,Directed,Retweet
devyatkof,6druz,Directed,Retweet
jordin_ramzi,6druz,Directed,Retweet
kuznetsov_boris,6druz,Directed,Retweet
maratgafvv,6druz,Directed,Retweet
nazzzgulyakov,6druz,Directed,Retweet
nini_711,6druz,Directed,Retweet
ramvanwage,6druz,Directed,Retweet
_anna_sanna_,novostiomska,Directed,Retweet
_anna_sanna_,novostispb,Directed,Retweet
_anna_sanna_,politvlast,Directed,Retweet
_anna_sanna_,riafanru,Directed,Retweet
_anna_sanna_,saftex,Directed,Retweet
_anna_sanna_,vitanosova,Directed,Retweet
_anna_sanna_,zubovnik,Directed,Retweet
_beglov,boeing_is_back,Directed,Retweet
_beglov,dannymaslov,Directed,Retweet
_beglov,evgenpaper,Directed,Retweet
_beglov,inforeactor,Directed,Retweet
_beglov,nevnov_ru,Directed,Retweet
_beglov,riafanru,Directed,Retweet
_beglov,ruopentwit,Directed,Retweet
_beglov,v_bakulin,Directed,Retweet
_beglov,viktor_lavren,Directed,Retweet
_beglov,vitaegorov,Directed,Retweet
_beglov,zubovnik,Directed,Retweet
maxim_arhip,_beglov,Directed,Retweet
viktor_lavren,_beglov,Directed,Retweet
_billy_moyer_,cassishere,Directed,Retweet
_billy_moyer_,glennharper_,Directed,Retweet
_billy_moyer_,jacquelinisbest,Directed,Retweet
_billy_moyer_,jsncarey,Directed,Retweet
_billy_moyer_,politweecs,Directed,Retweet
_gregorvan,evgenpaper,Directed,Retweet
_gregorvan,marisha_zu,Directed,Retweet
_gregorvan,maxdementiev,Directed,Retweet
_gregorvan,nkira1,Directed,Retweet
_gregorvan,rudemyanenko,Directed,Retweet
_gregorvan,ruopentwit,Directed,Retweet
_gregorvan,v_bakulin,Directed,Retweet
_innnnna_,maxdementiev,Directed,Retweet
_innnnna_,novostimsk,Directed,Retweet
_innnnna_,novostispb,Directed,Retweet
_innnnna_,riafanru,Directed,Retweet
_innnnna_,rudemyanenko,Directed,Retweet
_king_jester_,destroymepls,Directed,Retweet
_king_jester_,elnoxel,Directed,Retweet
_king_jester_,novostimsk,Directed,Retweet
_king_jester_,ruopentwit,Directed,Retweet
_king_jester_,zubovnik,Directed,Retweet
_linaalina_,agafonme,Directed,Retweet
_linaalina_,marisha_zu,Directed,Retweet
_linaalina_,maxdementiev,Directed,Retweet
_linaalina_,novostikzn,Directed,Retweet
_linaalina_,novostimsk,Directed,Retweet
_linaalina_,novostispb,Directed,Retweet
_linaalina_,riafanru,Directed,Retweet
_lukas_briggs_,politweecs,Directed,Retweet
_ronben,_lukas_briggs_,Directed,Retweet
_mark__b,annetteteal1,Directed,Retweet
_mark__b,coldwar20_ru,Directed,Retweet
_mark__b,davsiche,Directed,Retweet
_mark__b,donetsknovosti,Directed,Retweet
_mark__b,elnoxel,Directed,Retweet
_mark__b,kravchukrussia,Directed,Retweet
_mark__b,krislisovskaya,Directed,Retweet
_mark__b,saftex,Directed,Retweet
_mark__b,velickayayekat,Directed,Retweet
_mommymila_,batman_bane,Directed,Retweet
_mommymila_,essykrac,Directed,Retweet
_mommymila_,maxdementiev,Directed,Retweet
_mommymila_,novostismr,Directed,Retweet
_mommymila_,riafanru,Directed,Retweet
_nickluna_,andyhashtagger,Directed,Retweet
_nickluna_,bleepthepolice,Directed,Retweet
_nickluna_,danageezus,Directed,Retweet
_nickluna_,pamela_moore13,Directed,Retweet
_nickluna_,thefoundingson,Directed,Retweet
_nickluna_,traceyhappymom,Directed,Retweet
_nickluna_,xdwillie,Directed,Retweet
ameliebaldwin,_nickluna_,Directed,Retweet
cassishere,_nickluna_,Directed,Retweet
colinsneverland,_nickluna_,Directed,Retweet
edwardbroberts,_nickluna_,Directed,Retweet
happkendrahappy,_nickluna_,Directed,Retweet
hollandpatrickk,_nickluna_,Directed,Retweet
jotefokis,_nickluna_,Directed,Retweet
kateritterrrr,_nickluna_,Directed,Retweet
kenzdonovan,_nickluna_,Directed,Retweet
michellearry,_nickluna_,Directed,Retweet
mrjacksjackson,_nickluna_,Directed,Retweet
msheathowens,_nickluna_,Directed,Retweet
paolakinck,_nickluna_,Directed,Retweet
reachitdoit,_nickluna_,Directed,Retweet
themanmachine17,_nickluna_,Directed,Retweet
_nickulya,marygolyberva,Directed,Retweet
_nickulya,novostinn,Directed,Retweet
_nickulya,novostispb,Directed,Retweet
_nickulya,riafanru,Directed,Retweet
